saddr,saddr-raw,daddr,daddr-raw,ipid,ttl,classification,sport,dport,seqnum,acknum,window,success,repeat,cooldown,timestamp-str,timestamp-ts,timestamp-us
88.198.206.168,2832123480,192.168.1.64,1073850560,18173,116,synack,443,41102,2417481549,4255629903,8192,1,0,0,2019-01-09T17:24:49.384+0300,1547043889,384920
130.211.6.60,1007080322,192.168.1.64,1073850560,34008,109,synack,443,33923,2123862878,828055419,60720,1,0,0,2019-01-09T17:24:49.385+0300,1547043889,385142
223.14.171.251,4222291679,192.168.1.64,1073850560,36814,49,synack,443,35666,1152432527,2992391261,65535,1,0,0,2019-01-09T17:24:49.385+0300,1547043889,385572
118.89.128.252,4236269942,192.168.1.64,1073850560,0,42,synack,443,47979,773095537,3985897100,14600,1,0,0,2019-01-09T17:24:49.385+0300,1547043889,385642
45.194.148.155,2610217517,192.168.1.64,1073850560,0,47,synack,443,56124,1727829558,3582542363,29200,1,0,0,2019-01-09T17:24:49.385+0300,1547043889,385711
62.23.69.197,3309639486,192.168.1.64,1073850560,0,52,synack,443,39882,2269842965,214447664,5840,1,0,0,2019-01-09T17:24:49.385+0300,1547043889,385757
194.145.18.169,2836566466,192.168.1.64,1073850560,0,45,synack,443,43906,4093113650,3465216755,14600,1,0,0,2019-01-09T17:24:49.385+0300,1547043889,385893
86.110.240.99,1676701270,192.168.1.64,1073850560,0,49,synack,443,34759,38083953,3423345354,29200,1,0,0,2019-01-09T17:24:49.385+0300,1547043889,385956
52.28.234.235,3957988404,192.168.1.64,1073850560,0,238,synack,443,47020,2582454349,3097803373,26883,1,0,0,2019-01-09T17:24:49.386+0300,1547043889,386017
108.167.155.168,2828773228,192.168.1.64,1073850560,0,42,synack,443,60403,4019518383,522530666,29200,1,0,0,2019-01-09T17:24:49.386+0300,1547043889,386062
85.114.4.182,3053744725,192.168.1.64,1073850560,65284,243,synack,443,56902,3373230184,281633406,4128,1,0,0,2019-01-09T17:24:49.386+0300,1547043889,386189
